movie,genre,country,language,director,year,rating,views,budget_millions,box_office_millions,duration_minutes
Movie_32,Action,France,German,R. Kapoor,2023,6.7,74520,37.5,58,93
Movie_33,Drama,Spain,English,R. Kapoor,2022,8.9,189428,79.1,273,168
Movie_34,Action,Germany,Hindi,L. Dubois,2017,6.9,238232,31.2,67.4,119
Movie_35,Mystery,UK,Spanish,K. Müller,2018,8.4,228585,69.7,137,91
Movie_36,Fantasy,Australia,Hindi,K. Müller,2015,6,207144,37.1,127.6,105
Movie_37,Romance,Japan,Hindi,M. Tanaka,2015,6.4,236501,174.3,165.1,89
Movie_38,Adventure,Japan,French,L. Dubois,2017,6.1,100591,225.3,650.7,90
Movie_39,Action,Canada,French,M. Tanaka,2020,8.7,236770,219.3,750.3,180
Movie_40,Drama,France,German,M. Tanaka,2021,6.1,198085,231.5,659.1,137
Movie_41,Action,Japan,German,L. Dubois,2021,9.1,230075,120.3,132.2,143
Movie_42,Thriller,Japan,Spanish,K. Müller,2015,8.3,109455,85.4,264.1,120
Movie_43,Romance,Germany,English,S. Rivera,2020,9.3,35236,219.9,282.3,159
Movie_44,Historical,UK,Japanese,L. Dubois,2021,7.2,211157,81.9,189.9,150
Movie_45,Fantasy,France,German,K. Müller,2015,8.5,5443,132.4,386.5,172
Movie_46,Action,Spain,German,K. Müller,2020,8.2,178903,212.8,565.9,123
Movie_47,Mystery,Canada,Hindi,R. Kapoor,2021,8.4,150335,36.2,63.8,133
Movie_48,Adventure,South Korea,Spanish,J. Smith,2023,8.9,84658,75.3,134.8,159
Movie_49,Horror,Canada,Spanish,S. Rivera,2022,7.5,61020,130.2,375.1,179
Movie_50,Fantasy,Germany,French,L. Dubois,2023,8.3,167335,87.1,257.4,115
Movie_51,Drama,India,Spanish,L. Dubois,2015,6.2,129554,154.8,434.3,143
Movie_52,Adventure,India,French,M. Tanaka,2022,7.4,43684,165.7,85.6,98
Movie_53,Romance,Australia,Spanish,J. Smith,2022,6.2,70325,229.8,198.6,102
Movie_54,Horror,Australia,French,D. Wilson,2024,8.9,238837,128.7,385,155
Movie_55,Horror,Australia,Spanish,L. Dubois,2019,8.6,225165,161.2,450.9,151
Movie_56,Fantasy,UK,French,M. Tanaka,2022,6.3,79901,62.5,94.2,154
Movie_57,Thriller,Spain,Japanese,K. Müller,2021,8.4,190183,57.4,100.1,127
Movie_58,Sci-Fi,USA,Korean,K. Müller,2018,8.9,107099,226.7,510.6,174
Movie_59,Horror,Spain,Spanish,L. Dubois,2015,9.3,83279,189.6,580.2,138
Movie_60,Horror,India,Spanish,M. Tanaka,2018,7,132308,12.1,18.3,171
Movie_61,Horror,USA,English,K. Müller,2017,9.4,145017,11.6,19.5,157
Movie_62,Drama,Japan,Korean,K. Müller,2022,6.6,73198,97.9,111.1,126
Movie_63,Fantasy,Japan,French,S. Rivera,2021,6.9,26471,120.2,330.2,91
Movie_64,Sci-Fi,Canada,Japanese,S. Rivera,2015,9.3,57261,210.6,497.9,115
Movie_65,Historical,UK,Korean,M. Tanaka,2018,7.6,72172,192.9,193.5,162
Movie_66,Fantasy,India,Spanish,L. Dubois,2016,8,248502,81.4,206.1,133
Movie_67,Action,South Korea,Korean,S. Rivera,2024,8.4,169427,64.5,167.2,123
Movie_68,Historical,Japan,English,K. Müller,2015,7.2,117296,167.1,118.1,167
Movie_69,Horror,Canada,Japanese,M. Tanaka,2016,7.5,99945,160.7,479.9,175
Movie_70,Romance,South Korea,German,J. Smith,2019,8.2,246072,136.9,267,140
Movie_71,Thriller,India,German,A. Nolan,2016,7,123175,64.7,122.5,163
Movie_72,Horror,South Korea,Spanish,R. Kapoor,2020,6.6,60605,91.9,117.2,120
Movie_73,Romance,Spain,Korean,L. Dubois,2015,7.8,55084,26,69.2,147
Movie_74,Horror,France,German,J. Smith,2022,7.6,9520,27.8,32.4,173
Movie_75,Horror,Australia,German,R. Kapoor,2023,7.9,116543,249.2,536.1,130
Movie_76,Fantasy,Canada,French,L. Dubois,2018,6.4,55484,82.3,224.6,173
Movie_77,Horror,France,German,L. Dubois,2019,8.5,204283,133.5,180.1,97
Movie_78,Mystery,Spain,German,M. Tanaka,2017,7.1,190602,135.9,179.8,91
Movie_79,Horror,Canada,English,R. Kapoor,2016,9.1,155487,74.7,144.6,128
Movie_80,Horror,USA,French,M. Tanaka,2016,8.9,110043,125.5,280,172
Movie_81,Historical,South Korea,Korean,L. Dubois,2019,6.3,70061,34,95,162
Movie_82,Romance,Germany,Hindi,A. Nolan,2021,7.6,121056,77.9,176.5,139
Movie_83,Historical,Canada,French,M. Tanaka,2016,9.3,59470,158.3,204.8,95
Movie_84,Romance,USA,French,R. Kapoor,2016,6.5,112090,115.4,263.3,122
Movie_85,Fantasy,South Korea,Spanish,L. Dubois,2022,6.2,66190,231.4,662.6,165
Movie_86,Adventure,UK,English,M. Tanaka,2016,7.9,174773,41.5,53.8,103
Movie_87,Fantasy,Germany,Spanish,K. Müller,2024,8.6,154214,230.7,419.3,144
Movie_88,Fantasy,Japan,Hindi,R. Kapoor,2023,7.9,119755,24.7,15.3,140
Movie_89,Sci-Fi,Germany,Hindi,A. Nolan,2016,6.8,181763,209.8,466.9,87
Movie_90,Drama,India,Spanish,D. Wilson,2022,7.8,120927,229.4,239.6,159
Movie_91,Action,Japan,Japanese,D. Wilson,2022,7.2,92374,83.7,68.1,105
Movie_92,Fantasy,Japan,English,K. Müller,2021,8.8,149204,14,10.7,117
Movie_93,Romance,Japan,Hindi,D. Wilson,2015,8.3,147237,118.2,78.3,151
Movie_94,Horror,Australia,English,A. Nolan,2015,6.7,148974,37.1,50.6,174
Movie_95,Historical,France,Korean,S. Rivera,2018,8.5,86461,140,301.9,96
Movie_96,Horror,Germany,Japanese,D. Wilson,2016,8.3,45362,127.1,336.8,150
Movie_97,Horror,Canada,Korean,S. Rivera,2018,7.6,42917,99,323.3,150
Movie_98,Fantasy,Germany,Korean,D. Wilson,2021,7.2,211495,129.4,383.2,121
Movie_99,Drama,Australia,German,L. Dubois,2022,7.9,95472,86.4,240.9,133
Movie_100,Thriller,Australia,Spanish,K. Müller,2024,7.3,229398,195,123,180
